Stock,SMA Return,SMA Annualized Return,SMA Sharpe,SMA Max Drawdown,SMA Trades,RSI Return,RSI Annualized Return,RSI Sharpe,RSI Max Drawdown,RSI Trades,Better Strategy
BAJAJ-AUTO.NS,213.82608352438552,26.18900008565572,1.0182306898648317,-31.3539237971524,1,57.454204661672684,9.681040638392279,0.24798404241831595,-33.53633183487454,13,SMA
TRENT.NS,253.02987760891713,29.246645592343047,0.9259250207062063,-39.44761318329213,2,-12.708502853540482,-2.726555813504372,-0.26339920422745305,-56.019616069824984,11,SMA
ETERNAL.NS,222.64467121830444,26.902269542518,0.7976780777162069,-31.93596678011409,2,-32.828686038356494,-7.780543262151807,-0.2258619481544399,-71.97706896284993,11,SMA
BEL.NS,189.1307007313007,24.102883679012834,0.7393733683114079,-25.684072913083806,2,45.80913674047365,7.978939623218406,0.15723102679405823,-30.61506761405852,12,SMA
M&M.NS,178.42013691117376,23.15373520127344,0.7297719809667281,-22.914474896892337,3,86.11969753364812,13.467900171292712,0.4326622510157952,-24.801348176358644,15,SMA
BHARTIARTL.NS,119.01358047649846,17.286586871685717,0.6530355086296817,-17.288570341953793,2,27.23454604095654,5.025023590386013,-0.06374127052253223,-18.197058626260016,10,SMA
SHRIRAMFIN.NS,175.0917496632557,22.852858957485278,0.6311015698586863,-35.072756769884414,3,18.07642375362306,3.437319874757838,-0.026140629940504694,-34.24632845858142,10,SMA
EICHERMOT.NS,144.3847044580437,19.93068364670705,0.6303221835763719,-27.899937825089694,1,120.92336385303773,17.509182634598087,0.5588828994940194,-17.927109605268164,18,SMA
POWERGRID.NS,94.87139404670214,14.533310884195538,0.4839591346417657,-22.839818892461082,1,38.36138368916367,6.832689811655546,0.0792116008218731,-25.956625338195927,12,SMA
ONGC.NS,89.69723494257845,13.908145097477309,0.41654471234357504,-32.09466736769918,1,16.76052967319519,3.204441870013941,-0.11471615636641541,-27.553134022669994,9,SMA
SUNPHARMA.NS,72.87027685967288,11.776343123256794,0.4154415311115595,-24.151841309636843,1,61.64888889579836,10.269609640879128,0.31340161883503204,-14.467429601902051,18,SMA
HEROMOTOCO.NS,78.81061064764432,12.547078933091216,0.3718636994646686,-28.50946645105306,3,16.3504183294614,3.1305507373363683,-0.1266703541242811,-32.082299591520275,12,SMA
APOLLOHOSP.NS,72.08057402881933,11.672299813931852,0.34909131714787484,-18.497186304086952,3,44.159710288144005,7.729174105102943,0.14215285697971455,-28.710555449944646,15,SMA
LT.NS,74.33394077472015,11.968183710426207,0.3400148564866754,-24.34757106160581,2,57.318956678184875,9.653693804285467,0.24532636118132528,-22.3132773425574,15,SMA
JSWSTEEL.NS,73.9899665451766,11.923215106736373,0.3308161535529342,-15.15543690705041,2,75.8055558204106,12.170174178654403,0.3454485218690437,-18.59449430661607,16,RSI
HINDALCO.NS,68.96749280132792,11.258409221284271,0.30306450218912184,-24.68879196325815,2,116.66020195212513,17.044019533308475,0.544883537125862,-27.436374607869986,14,RSI
TATASTEEL.NS,66.6563504631293,10.947191224429309,0.2946825966146439,-18.975345450649105,2,7.9419356405048935,1.5677898783188038,-0.16171213272692153,-37.6908145107336,16,SMA
SBIN.NS,66.129869104951,10.875814957123042,0.2917940121185422,-23.066367032333282,3,95.02283385127596,14.563979520735227,0.5650832488058789,-17.655198291010947,19,RSI
ICICIBANK.NS,48.923477973585406,8.43736352252391,0.18353559900235286,-14.240744909954826,2,84.112846306048,13.229335592157486,0.5089377763692978,-14.60782322288297,18,RSI
ULTRACEMCO.NS,42.49027164812762,7.4677975943511,0.12751852650804443,-31.57982185672097,3,100.07003424798198,15.161376241782488,0.5284510530089745,-27.723537672956322,16,RSI
ADANIPORTS.NS,26.348315940602475,4.871672638518776,0.08988342939604499,-52.33702267948923,2,61.63784577129054,10.26807620085901,0.2589747392994369,-45.042783392503964,14,RSI
MARUTI.NS,35.254550805858244,6.3346877093305,0.06343709037359592,-28.550774924820725,4,35.58925451963546,6.393476241226281,0.04529732337637931,-20.153127433168958,17,RSI
AXISBANK.NS,32.2471049180328,5.849476202403792,0.05075455828319449,-25.32927841619486,2,46.80129926659966,8.121276884815941,0.16261199634895404,-25.671888307409773,15,RSI
INDUSINDBK.NS,31.83798440690886,5.782792634654821,0.0466004484470448,-23.26431299786244,2,23.820866002931652,4.445219712136472,0.004933267746550198,-39.81464772366156,14,SMA
TITAN.NS,24.717388491901502,4.59491660247402,-0.03956208019945594,-26.646324085869455,3,102.4798188803182,15.4289993831771,0.5193525329028911,-24.01891545570185,17,RSI
DRREDDY.NS,21.67785840950409,4.071344246368458,-0.07332905550595224,-28.29441624403499,4,36.29942014915413,6.506670743952969,0.05610485116743412,-18.32188891973142,18,RSI
GRASIM.NS,20.730390600559147,3.906009371477892,-0.07466169229789811,-24.428881649779488,3,58.99245530709598,9.898311388687354,0.26757615936467677,-26.877735257049494,16,RSI
CIPLA.NS,22.912233063485843,4.285213364489282,-0.08628085827859343,-15.605470356551349,3,-11.947457767242753,-2.5566993981489095,-0.53528202256445,-31.58117416137206,12,SMA
NESTLEIND.NS,20.983745925656372,3.9503212977366697,-0.09690752779091798,-26.89964507723727,2,91.35300000132406,14.10966461008718,0.5418890172339518,-14.777419697513391,19,RSI
ADANIENT.NS,7.526392494923018,1.4868670579774923,-0.1428880639067385,-32.12228591240557,3,181.0448979682611,23.409940699847343,0.6156884249031597,-45.56499069718987,15,RSI
TECHM.NS,6.7749215099284665,1.3422070343357628,-0.19285464848557435,-40.441435443713644,4,19.506939819746005,3.6909789571805796,-0.0825192617975873,-25.233382374547496,11,RSI
HCLTECH.NS,7.151344414721472,1.4147703975724957,-0.23318417456904988,-36.83204608270922,3,27.876662134204942,5.132697415248599,-0.0011309093924319557,-25.298475322844872,13,RSI
WIPRO.NS,-1.5718402698537637,-0.32171690567640576,-0.29774943358698946,-41.08800765052034,2,-11.04970914382971,-2.3534074831655927,-0.37431988601200683,-30.094914188573007,17,SMA
HDFCBANK.NS,9.441184209639108,1.8518620026078736,-0.3013521711353297,-15.601529354667267,3,17.882706672868576,3.4055769257793855,-0.16052346330782327,-23.245201206990014,16,RSI
SBILIFE.NS,-2.685543332184981,-0.5521506148379096,-0.3319239977769933,-28.817685090305773,3,43.2282783511148,7.58712425792305,0.128911515167469,-16.513680580148964,15,RSI
COALINDIA.NS,12.583948638917475,2.4400523742764024,-0.3764115098689565,-11.336033799525017,0,58.3359367850758,9.80578689862368,0.2564648881352604,-27.093885340478685,11,RSI
TCS.NS,0.6821702009796926,0.13837102372704635,-0.3900673817943068,-29.7237406954232,3,-0.1973697280019393,-0.04020703531771863,-0.3292595031600583,-32.57324690926541,15,SMA
RELIANCE.NS,2.0266099592640474,0.40890442467187427,-0.3911569039201411,-20.353240822139966,3,5.887871469005712,1.171351156867173,-0.2502047873152184,-21.801821846629103,15,RSI
TATACONSUM.NS,-9.645415061787087,-2.0418177315122965,-0.4285881748395417,-31.997396673023637,4,17.703485674387707,3.3735565999287287,-0.09964802577556885,-27.258227399013375,12,RSI
BAJFINANCE.NS,-23.11532824558857,-5.205973897481908,-0.5895043021443739,-39.41327001154211,4,44.59776528899455,7.79572793893486,0.14615841009625424,-21.918438484764614,15,RSI
BAJAJFINSV.NS,-28.46730507279178,-6.5869155240435795,-0.7117510919895265,-38.340194754156826,4,35.99277091759403,6.45785116540738,0.07874769769658871,-24.117174826271363,15,RSI
