Price,Close,High,Low,Open,Volume
Ticker,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS
Date,,,,,
2022-09-12,2426.039794921875,2449.1683091567497,2420.022736187898,2436.005792332107,1595709
2022-09-13,2431.868896484375,2452.9288298863,2424.7234389715472,2442.5868532175573,1342130
2022-09-14,2417.578125,2450.1084362675592,2394.3557310085926,2397.458370100643,1610054
2022-09-15,2407.23583984375,2443.338875462452,2398.3982431104455,2425.6634524598,1199906
2022-09-16,2376.915283203125,2410.4798830604955,2367.9835758033796,2402.1592006684114,2516820
2022-09-19,2424.958740234375,2433.185313454129,2358.0179846277065,2379.5950650511595,1166725
2022-09-20,2429.00146484375,2464.6812408283668,2425.287800698982,2443.1512161388982,1253333
2022-09-21,2466.65576171875,2488.4208318033448,2425.663831511336,2427.5441910706472,1960049
2022-09-22,2531.669189453125,2539.6607178573036,2463.31816300931,2466.1857573439092,2620240
2022-09-23,2521.60888671875,2560.814332380244,2514.040394597438,2536.510596511844,1789791
2022-09-26,2501.395263671875,2565.7505212379992,2484.94211815276,2508.869646729059,2678551
2022-09-27,2518.976806640625,2551.4130107384512,2494.6730662485415,2515.921222196627,1898501
2022-09-28,2540.459716796875,2546.711820129236,2493.403675837528,2510.2328010347546,1526197
2022-09-29,2539.00244140625,2563.8701496087356,2530.1177887752156,2548.9213835651585,2019666
2022-09-30,2535.147705078125,2552.493975996988,2508.305526629742,2545.066647598627,1340054
2022-10-03,2465.62158203125,2570.451632134771,2460.9677378217643,2560.1096540976523,1683197
2022-10-04,2508.3525390625,2516.3911218993767,2476.5744173397807,2491.4763583162144,1327939
2022-10-06,2457.630126953125,2531.2462550869814,2449.2155632060862,2520.904276740966,1752351
2022-10-07,2444.185302734375,2456.68973958552,2420.96290831715,2455.6554500238467,1025923
2022-10-10,2449.732421875,2454.5272008264124,2389.9368986083723,2416.2619313231776,1043728
2022-10-11,2398.069580078125,2454.3864893467826,2392.757655878528,2453.8693445355434,1129783
2022-10-12,2436.3349609375,2448.7923430031724,2401.4071444430424,2410.1038073945497,882873
2022-10-13,2412.877197265625,2451.1895217396013,2409.586568169701,2428.4842727921514,753331
2022-10-14,2421.715087890625,2467.877776693316,2416.449989385028,2435.0655946645825,1001536
2022-10-17,2435.582763671875,2453.8221595047135,2414.3816638241474,2419.6467623821204,778918
2022-10-18,2446.582763671875,2483.9549088754325,2441.6468199657447,2463.270954297363,1123374
2022-10-19,2428.484375,2460.9205774535426,2424.1594561917627,2458.852227841982,1241979
2022-10-20,2445.3134765625,2453.869204299969,2414.5225890372803,2414.5225890372803,1428125
2022-10-21,2495.143310546875,2507.2247139104875,2450.1087857694683,2450.1087857694683,2458302
2022-10-24,2419.176513671875,2482.0744447179154,2397.458270466168,2453.9631630864824,719908
2022-10-25,2355.526123046875,2431.304698503759,2350.4492444931934,2431.304698503759,2923789
2022-10-27,2368.312744140625,2378.654721189274,2339.1671724580688,2344.8082508482407,1846329
2022-10-28,2373.248779296875,2398.3044782988304,2361.731577139249,2374.988203682049,1164951
2022-10-31,2398.116455078125,2418.1423297660617,2389.98399201212,2392.7574763820476,1324443
2022-11-01,2415.247802734375,2438.0108823159662,2411.272599879386,2431.5273479495604,1280132
2022-11-02,2383.541015625,2426.79547534711,2367.5452281753182,2426.79547534711,1338284
2022-11-03,2410.089599609375,2412.5977001586793,2374.0756881563893,2381.0796063109324,730444
2022-11-04,2385.480712890625,2409.758033484079,2380.6535324905067,2408.764175039804,889055
2022-11-07,2397.2646484375,2415.4371702744916,2382.3100930959617,2395.655665189773,1283685
2022-11-09,2374.549072265625,2408.7171494364193,2359.2631528599154,2375.6848116176993,1436444
2022-11-10,2379.092041015625,2402.1862529874106,2367.2135718394065,2370.0056648859245,1459152
2022-11-11,2369.106689453125,2410.5155369158833,2361.487415304746,2408.811812405041,1162847
2022-11-14,2326.2783203125,2379.2342792383424,2323.7699883938017,2372.6562336621487,2137131
2022-11-15,2325.993896484375,2336.8785067832846,2313.3581912286645,2326.277889055226,1558333
2022-11-16,2345.2548828125,2350.129202541975,2298.1671148598366,2331.7200610852537,1330395
2022-11-17,2328.360595703125,2364.327141490409,2322.9182894326805,2347.2429860262123,960476
2022-11-18,2350.7919921875,2355.38255101336,2317.8070269404766,2337.8251539456232,1075675
2022-11-21,2367.544921875,2377.577786813517,2337.872662584153,2350.7921309777334,1354881
2022-11-22,2381.079833984375,2388.935730660975,2363.380554461353,2371.804205296685,921265
2022-11-23,2373.1767578125,2389.8821784312645,2368.112954627732,2386.0962264654327,734152
2022-11-24,2412.73974609375,2423.00923312555,2376.7732027895427,2382.310249912894,999929
2022-11-25,2401.66552734375,2418.6549378844725,2383.4456363937766,2418.276435178303,783480
2022-11-28,2390.0712890625,2406.4455765656708,2386.853322511518,2391.7750135620254,830905
2022-11-29,2493.238525390625,2498.680831133064,2391.964314183493,2391.964314183493,2542932
2022-11-30,2540.705078125,2553.6245465024504,2482.6379486567557,2493.049316340791,3698270
2022-12-01,2520.355712890625,2539.427354035937,2505.2119045922373,2536.587889979989,1675569
2022-12-02,2475.16064453125,2517.657859580169,2467.635880729102,2517.657859580169,2101890
2022-12-05,2479.65625,2484.5305699257824,2446.812937224266,2460.8683740217275,1640511
2022-12-06,2512.499755859375,2517.6106986070267,2464.512860680038,2467.304954052851,1484562
2022-12-07,2562.474365234375,2574.2580945547784,2514.108736268077,2517.705436863666,2368561
2022-12-08,2560.675537109375,2565.975961560979,2542.029772464489,2550.832155786268,1314703
2022-12-09,2576.576416015625,2594.8910473936003,2566.1650502056623,2578.8952649126195,1883397
2022-12-12,2571.844482421875,2578.2332763334944,2544.7748335658794,2557.599792003697,1163204
2022-12-13,2565.266357421875,2574.447244394373,2553.435257953151,2571.607780521879,1265839
2022-12-14,2540.98876953125,2574.4472108229606,2528.400664721609,2574.4472108229606,886858
2022-12-15,2520.73388671875,2539.6636446214534,2506.7258196555204,2525.5610674143977,990722
