Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2021-06-03,2737.7861328125,2749.377916098571,2721.5750418670996,2749.377916098571,1281706
2021-06-04,2739.96484375,2751.382356919882,2723.623105119284,2726.2377833001988,1836060
2021-06-07,2774.34765625,2780.66646148258,2731.1184405355557,2741.0541319259814,2559821
2021-06-08,2789.12060546875,2816.0082968830657,2777.8339542944295,2787.2468379548263,2574057
2021-06-09,2789.2080078125,2806.4213061967816,2776.962555519222,2790.733236783259,1710925
2021-06-10,2803.63232421875,2809.907509350515,2782.889167914452,2797.705677734228,1874324
2021-06-11,2853.31201171875,2883.9908687022653,2798.578023391651,2799.0574237535893,3452954
2021-06-14,2855.53369140625,2883.7285099917262,2850.304335068326,2857.8432386756117,1847360
2021-06-15,2843.6806640625,2874.4031354158683,2833.919240543718,2874.4031354158683,1304985
2021-06-16,2853.79052734375,2871.5266329719457,2835.1826495566793,2843.1139249899015,1635552
2021-06-17,2891.61669921875,2907.566281552538,2841.284135167847,2846.0777126965045,2273413
2021-06-18,2873.79296875,2926.6965839193863,2854.3571507849883,2920.5084268151454,3380431
2021-06-21,2852.701416015625,2863.9444481822334,2834.0499154939534,2845.641699122031,1130569
2021-06-22,2877.1923828125,2899.722282597916,2863.0731604681805,2879.632792142121,1708688
2021-06-23,2842.50390625,2901.4214102067162,2838.1461089982627,2901.4214102067162,1467104
2021-06-24,2940.29296875,2948.485542252552,2857.4075821090723,2862.201158958729,4155204
2021-06-25,2946.56884765625,2962.9976190564626,2919.724768422785,2941.7316491400015,2722861
2021-06-28,2908.176513671875,2955.8944020733243,2904.908165151228,2955.8944020733243,1355238
2021-06-29,2911.749755859375,2933.93090345511,2899.242791426443,2912.751964210784,1497322
2021-06-30,2916.0205078125,2947.6145430536876,2909.7017007642626,2916.238397710715,1693146
2021-07-01,2912.31591796875,2930.1828867906443,2904.3412340712302,2926.696648971738,990310
2021-07-02,2898.3271484375,2910.7468698200696,2871.962476730642,2903.164345637849,1682274
2021-07-05,2894.449462890625,2940.6421221899936,2877.889830311606,2912.752214688488,1972858
2021-07-06,2843.28857421875,2900.5499903048712,2837.8849479232354,2887.476597920685,2159420
2021-07-07,2854.3134765625,2861.0680620594303,2825.247097610061,2854.35709709006,2640710
2021-07-08,2839.97607421875,2874.402667722399,2816.792510948647,2874.402667722399,2485811
2021-07-09,2796.093017578125,2860.4577600900784,2789.861453396813,2832.567861149529,6365067
2021-07-12,2782.9765625,2820.3663777594174,2778.8366551160825,2819.4948183101715,1892226
2021-07-13,2778.14013671875,2801.192847998327,2767.202020035684,2801.192847998327,1809339
2021-07-14,2801.671630859375,2808.164706572145,2775.9170051000256,2777.6601240985183,2044279
2021-07-15,2797.6533203125,2822.8964842713835,2789.835882951835,2819.184273093379,2232968
2021-07-16,2790.53466796875,2812.414919822018,2788.088933272535,2806.4316236230125,1256526
2021-07-19,2781.625244140625,2794.9018146966923,2774.113390843784,2777.607236424192,1597058
2021-07-20,2800.142822265625,2808.178625137528,2756.775332345759,2781.6254817571275,1811945
2021-07-22,2809.358154296875,2816.8697957122436,2786.342357051715,2786.342357051715,2859334
